Frequency(Hz),Impedance
1.00E+04,4.669520032
1.25E+04,4.574001969
1.50E+04,4.496000535
1.75E+04,4.429838751
2.00E+04,4.372532794
2.25E+04,4.322007245
2.50E+04,4.276782819
2.75E+04,4.235853935
3.00E+04,4.198421112
3.25E+04,4.163952164
3.50E+04,4.13143255
3.75E+04,4.102463029
4.00E+04,4.074453916
4.25E+04,4.048761302
4.50E+04,4.023777514
4.75E+04,4.000731884
5.00E+04,3.978513803
5.25E+04,3.957522954
5.50E+04,3.937443396
5.75E+04,3.918278036
6.00E+04,3.899931823
6.25E+04,3.882324336
6.50E+04,3.86538508
6.75E+04,3.849065618
7.00E+04,3.833368802
7.25E+04,3.818283136
7.50E+04,3.803567126
7.75E+04,3.789401461
8.00E+04,3.775748059
8.25E+04,3.762370996
8.50E+04,3.749478209
8.75E+04,3.736954364
9.00E+04,3.724773107
9.25E+04,3.712898358
9.50E+04,3.701364978
9.75E+04,3.690130155
1.00E+05,3.679151489
1.03E+05,3.668439353
1.05E+05,3.658014545
1.08E+05,3.647782651
1.10E+05,3.637848531
1.13E+05,3.628118109
1.15E+05,3.61860467
1.18E+05,3.609262559
1.20E+05,3.600115346
1.23E+05,3.591211483
1.25E+05,3.582477441
1.28E+05,3.573828929
1.30E+05,3.565389372
1.33E+05,3.55716966
1.35E+05,3.549049739
1.38E+05,3.541074594
1.40E+05,3.533232796
1.43E+05,3.525538063
1.45E+05,3.517974309
1.48E+05,3.510538687
1.50E+05,3.503218674
1.53E+05,3.49607619
1.55E+05,3.488973492
1.58E+05,3.482017126
1.60E+05,3.475149059
1.63E+05,3.468426765
1.65E+05,3.461797134
1.68E+05,3.455225211
1.70E+05,3.448768391
1.73E+05,3.442375427
1.75E+05,3.436130267
1.78E+05,3.42996302
1.80E+05,3.42385342
1.83E+05,3.417816989
1.85E+05,3.411886668
1.88E+05,3.406026062
1.90E+05,3.400237308
1.93E+05,3.394511424
1.95E+05,3.38889382
1.98E+05,3.383316736
2.00E+05,3.377835627
2.03E+05,3.372414328
2.05E+05,3.367033246
2.08E+05,3.361742542
2.10E+05,3.356519464
2.13E+05,3.351329837
2.15E+05,3.346217054
2.18E+05,3.341133914
2.20E+05,3.336143813
2.23E+05,3.331177416
2.25E+05,3.326297155
2.28E+05,3.321438389
2.30E+05,3.316660427
2.33E+05,3.311934038
2.35E+05,3.307234888
2.38E+05,3.302571843
2.40E+05,3.297989336
2.43E+05,3.29343187
2.45E+05,3.288936177
2.48E+05,3.28446789
2.50E+05,3.280050115
2.53E+05,3.275655341
2.55E+05,3.271331161
2.58E+05,3.267034419
2.60E+05,3.262790095
2.63E+05,3.258562708
2.65E+05,3.254404151
2.68E+05,3.25026843
2.70E+05,3.246175209
2.73E+05,3.242111335
2.75E+05,3.238087124
2.78E+05,3.234072644
2.80E+05,3.230112421
2.83E+05,3.226202246
2.85E+05,3.222323305
2.88E+05,3.218445863
2.90E+05,3.214610164
2.93E+05,3.210833064
2.95E+05,3.20706087
2.98E+05,3.203337772
3.00E+05,3.199628313
3.03E+05,3.195941979
3.05E+05,3.192306989
3.08E+05,3.188685354
3.10E+05,3.185100965
3.13E+05,3.181529673
3.15E+05,3.177989192
3.18E+05,3.174467258
3.20E+05,3.171013682
3.23E+05,3.167533938
3.25E+05,3.164112597
3.28E+05,3.16069526
3.30E+05,3.157323403
3.33E+05,3.15397641
3.35E+05,3.150634261
3.38E+05,3.147327476
3.40E+05,3.144040534
3.43E+05,3.140765281
3.45E+05,3.137521951
3.48E+05,3.134308898
3.50E+05,3.13110367
3.53E+05,3.127948594
3.55E+05,3.124782459
3.58E+05,3.121638751
3.60E+05,3.118538926
3.63E+05,3.115424465
3.65E+05,3.11235812
3.68E+05,3.109287445
3.70E+05,3.106255725
3.73E+05,3.103240408
3.75E+05,3.100255371
3.78E+05,3.097277183
3.80E+05,3.094300937
3.83E+05,3.091347069
3.85E+05,3.088421155
3.88E+05,3.08551317
3.90E+05,3.082631901
3.93E+05,3.079750247
3.95E+05,3.076907273
3.98E+05,3.074060467
4.00E+05,3.071236913
4.03E+05,3.068439724
4.05E+05,3.06562887
4.08E+05,3.0628613
4.10E+05,3.060094653
4.13E+05,3.057370465
4.15E+05,3.054601431
4.18E+05,3.051923316
4.20E+05,3.049217319
4.23E+05,3.046532329
4.25E+05,3.043860358
4.28E+05,3.041171088
4.30E+05,3.038599653
4.33E+05,3.035934845
4.35E+05,3.033296049
4.38E+05,3.030713528
4.40E+05,3.028130737
4.43E+05,3.025543003
4.45E+05,3.022983424
4.48E+05,3.020442757
4.50E+05,3.017889745
4.53E+05,3.015381637
4.55E+05,3.012870644
4.58E+05,3.010388315
4.60E+05,3.007872247
4.63E+05,3.005383933
4.65E+05,3.002945942
4.68E+05,3.000510948
4.70E+05,2.998083297
4.73E+05,2.995643806
4.75E+05,2.993216544
4.78E+05,2.990831361
4.80E+05,2.988399237
4.83E+05,2.986040193
4.85E+05,2.983672739
4.88E+05,2.981303988
4.90E+05,2.978951736
4.93E+05,2.976613272
4.95E+05,2.974300288
4.98E+05,2.971991206
5.00E+05,2.969666642
5.03E+05,2.967375363
5.05E+05,2.965076873
5.08E+05,2.962816924
5.10E+05,2.96054892
5.13E+05,2.958284259
5.15E+05,2.956067819
5.18E+05,2.953813341
5.20E+05,2.951546358
5.23E+05,2.9493429
5.25E+05,2.947138302
5.28E+05,2.944931926
5.30E+05,2.942730641
