Frequency(Hz),Impedance
1.00E+04,4.66899623
1.25E+04,4.573503261
1.50E+04,4.495426409
1.75E+04,4.42930421
2.00E+04,4.371913643
2.25E+04,4.321388685
2.50E+04,4.276151845
2.75E+04,4.235211497
3.00E+04,4.197814844
3.25E+04,4.163409464
3.50E+04,4.131623568
3.75E+04,4.101917084
4.00E+04,4.074006951
4.25E+04,4.048205222
4.50E+04,4.023226523
4.75E+04,4.000178759
5.00E+04,3.977969186
5.25E+04,3.956932674
5.50E+04,3.936903161
5.75E+04,3.917693677
6.00E+04,3.899368195
6.25E+04,3.881777302
6.50E+04,3.864851041
6.75E+04,3.848569933
7.00E+04,3.832885028
7.25E+04,3.817675474
7.50E+04,3.803072601
7.75E+04,3.78890122
8.00E+04,3.775197372
8.25E+04,3.76188151
8.50E+04,3.749012965
8.75E+04,3.736452697
9.00E+04,3.724288704
9.25E+04,3.712424571
9.50E+04,3.70091626
9.75E+04,3.689678291
1.00E+05,3.678688857
1.03E+05,3.668003259
1.05E+05,3.657490435
1.08E+05,3.64741701
1.10E+05,3.63743407
1.13E+05,3.627739953
1.15E+05,3.618198143
1.18E+05,3.608838069
1.20E+05,3.599737513
1.23E+05,3.590771424
1.25E+05,3.58204169
1.28E+05,3.573407073
1.30E+05,3.565018127
1.33E+05,3.556744674
1.35E+05,3.548613439
1.38E+05,3.540680181
1.40E+05,3.532854692
1.43E+05,3.525165
1.45E+05,3.517673279
1.48E+05,3.510170598
1.50E+05,3.502859184
1.53E+05,3.495672363
1.55E+05,3.488649085
1.58E+05,3.481683897
1.60E+05,3.474836329
1.63E+05,3.468060026
1.65E+05,3.461440498
1.68E+05,3.454887314
1.70E+05,3.448425325
1.73E+05,3.44206295
1.75E+05,3.435803309
1.78E+05,3.429591611
1.80E+05,3.423503276
1.83E+05,3.417513265
1.85E+05,3.411560653
1.88E+05,3.405700655
1.90E+05,3.399907957
1.93E+05,3.394216209
1.95E+05,3.388588606
1.98E+05,3.383032928
2.00E+05,3.377547511
2.03E+05,3.372098935
2.05E+05,3.366728817
2.08E+05,3.361434403
2.10E+05,3.35619973
2.13E+05,3.351032498
2.15E+05,3.345900262
2.18E+05,3.340834242
2.20E+05,3.33584597
2.23E+05,3.330887896
2.25E+05,3.325994264
2.28E+05,3.32115118
2.30E+05,3.31634944
2.33E+05,3.311604129
2.35E+05,3.306927889
2.38E+05,3.302279202
2.40E+05,3.297686002
2.43E+05,3.293141138
2.45E+05,3.288638214
2.48E+05,3.284173111
2.50E+05,3.279761352
2.53E+05,3.275412067
2.55E+05,3.27104698
2.58E+05,3.266745728
2.60E+05,3.262522838
2.63E+05,3.258312421
2.65E+05,3.254135263
2.68E+05,3.249996816
2.70E+05,3.245894047
2.73E+05,3.241829317
2.75E+05,3.237810332
2.78E+05,3.233820602
2.80E+05,3.22985659
2.83E+05,3.225931951
2.85E+05,3.222053709
2.88E+05,3.218180823
2.90E+05,3.214360417
2.93E+05,3.210573413
2.95E+05,3.206806257
2.98E+05,3.203057378
3.00E+05,3.199373513
3.03E+05,3.195703778
3.05E+05,3.192035584
3.08E+05,3.188427208
3.10E+05,3.184822954
3.13E+05,3.181277367
3.15E+05,3.177736179
3.18E+05,3.174245903
3.20E+05,3.170734144
3.23E+05,3.167279542
3.25E+05,3.163881374
3.28E+05,3.160456041
3.30E+05,3.157086241
3.33E+05,3.153694433
3.35E+05,3.150381688
3.38E+05,3.147080136
3.40E+05,3.143798711
3.43E+05,3.140532051
3.45E+05,3.137263191
3.48E+05,3.134050388
3.50E+05,3.130883697
3.53E+05,3.127674315
3.55E+05,3.12453102
3.58E+05,3.121388607
3.60E+05,3.118291553
3.63E+05,3.11517754
3.65E+05,3.11211579
3.68E+05,3.109063178
3.70E+05,3.106008574
3.73E+05,3.102999904
3.75E+05,3.100002178
3.78E+05,3.097021785
3.80E+05,3.094073661
3.83E+05,3.091111632
3.85E+05,3.088193912
3.88E+05,3.085269876
3.90E+05,3.082410379
3.93E+05,3.07953585
3.95E+05,3.076677851
3.98E+05,3.073815402
4.00E+05,3.071001685
4.03E+05,3.068204842
4.05E+05,3.06539741
4.08E+05,3.062629366
