Frequency(Hz),Impedance
1.00E+04,4.669440713
1.25E+04,4.573414741
1.50E+04,4.494854691
1.75E+04,4.428338543
2.00E+04,4.370657793
2.25E+04,4.319892844
2.50E+04,4.274387031
2.75E+04,4.233287846
3.00E+04,4.19569225
3.25E+04,4.16113847
3.50E+04,4.129624334
3.75E+04,4.099351513
4.00E+04,4.071140641
4.25E+04,4.04533116
4.50E+04,4.020924115
4.75E+04,3.996954528
5.00E+04,3.974934682
5.25E+04,3.953822062
5.50E+04,3.933698317
5.75E+04,3.914484995
6.00E+04,3.896050401
6.25E+04,3.878393891
6.50E+04,3.861435411
6.75E+04,3.845041074
7.00E+04,3.829338642
7.25E+04,3.814120983
7.50E+04,3.799449344
7.75E+04,3.785229658
8.00E+04,3.771480086
8.25E+04,3.758137413
8.50E+04,3.745160636
8.75E+04,3.732632102
9.00E+04,3.72036213
9.25E+04,3.708526772
9.50E+04,3.697001021
9.75E+04,3.685703513
1.00E+05,3.674711293
1.03E+05,3.663963807
1.05E+05,3.6535232
1.08E+05,3.643284143
1.10E+05,3.633340217
1.13E+05,3.623586429
1.15E+05,3.614011557
1.18E+05,3.604621471
1.20E+05,3.595525603
1.23E+05,3.586568727
1.25E+05,3.577744076
1.28E+05,3.569184168
1.30E+05,3.560752513
1.33E+05,3.552435299
1.35E+05,3.544348888
1.38E+05,3.536280726
1.40E+05,3.528484919
1.43E+05,3.520798421
1.45E+05,3.513205781
1.48E+05,3.505776056
1.50E+05,3.498458359
1.53E+05,3.491241905
1.55E+05,3.484174139
1.58E+05,3.477196766
1.60E+05,3.470315895
1.63E+05,3.463544071
1.65E+05,3.456899768
1.68E+05,3.450365895
1.70E+05,3.443844437
1.73E+05,3.437499397
1.75E+05,3.431231455
1.78E+05,3.425026238
1.80E+05,3.41892378
1.83E+05,3.412882299
1.85E+05,3.406938361
1.88E+05,3.401075312
1.90E+05,3.395283913
1.93E+05,3.389572607
1.95E+05,3.383937701
1.98E+05,3.378355245
2.00E+05,3.372873141
2.03E+05,3.367421232
2.05E+05,3.362073942
2.08E+05,3.356750381
2.10E+05,3.351507837
2.13E+05,3.346300395
2.15E+05,3.341192971
2.18E+05,3.336092124
2.20E+05,3.331089734
2.23E+05,3.326149942
2.25E+05,3.321233931
2.28E+05,3.316389176
2.30E+05,3.311584222
2.33E+05,3.306840009
2.35E+05,3.302129798
2.38E+05,3.297514912
2.40E+05,3.292890492
2.43E+05,3.288326341
2.45E+05,3.283808696
2.48E+05,3.279373451
2.50E+05,3.274952651
2.53E+05,3.270557954
2.55E+05,3.266229115
2.58E+05,3.261918626
2.60E+05,3.257660214
2.63E+05,3.253444705
2.65E+05,3.249291795
2.68E+05,3.245140933
2.70E+05,3.241026052
2.73E+05,3.236953534
2.75E+05,3.23294316
2.78E+05,3.228941608
2.80E+05,3.224962334
2.83E+05,3.221042203
2.85E+05,3.217154705
2.88E+05,3.213295611
2.90E+05,3.209451342
2.93E+05,3.205670454
2.95E+05,3.201875942
2.98E+05,3.198166541
3.00E+05,3.194457324
3.03E+05,3.190756616
3.05E+05,3.187110719
3.08E+05,3.183501764
3.10E+05,3.179909721
3.13E+05,3.176332909
3.15E+05,3.172794543
3.18E+05,3.169276579
3.20E+05,3.165788252
3.23E+05,3.162369247
3.25E+05,3.158926795
3.28E+05,3.155488888
3.30E+05,3.152117863
3.33E+05,3.148791526
3.35E+05,3.145425397
3.38E+05,3.142080005
3.40E+05,3.138805639
3.43E+05,3.135569239
3.45E+05,3.132312957
3.48E+05,3.129073958
3.50E+05,3.125888847
3.53E+05,3.122712061
3.55E+05,3.119546472
3.58E+05,3.116392167
3.60E+05,3.113297018
3.63E+05,3.110203928
3.65E+05,3.107122691
3.68E+05,3.104062248
3.70E+05,3.101023097
3.73E+05,3.097991271
3.75E+05,3.095006175
3.78E+05,3.092019716
3.80E+05,3.0890686
3.83E+05,3.0860998
3.85E+05,3.083178036
3.88E+05,3.080264349
3.90E+05,3.077372735
3.93E+05,3.074515699
3.95E+05,3.071628401
3.98E+05,3.068811493
4.00E+05,3.065963157
4.03E+05,3.063194086
4.05E+05,3.060351122
4.08E+05,3.057586194
4.10E+05,3.054848315
4.13E+05,3.052143186
4.15E+05,3.049355283
4.18E+05,3.046668503
4.20E+05,3.04391459
4.23E+05,3.04130506
4.25E+05,3.038586514
4.28E+05,3.035918498
4.30E+05,3.033279268
4.33E+05,3.030659289
4.35E+05,3.028041293
4.38E+05,3.025459329
4.40E+05,3.022845804
4.43E+05,3.020276451
4.45E+05,3.017722429
4.48E+05,3.015174066
4.50E+05,3.012627581
4.53E+05,3.01011021
4.55E+05,3.007620861
4.58E+05,3.005100998
4.60E+05,3.002625113
4.63E+05,3.000162597
4.65E+05,2.997706009
4.68E+05,2.99521302
4.70E+05,2.992784056
4.73E+05,2.990380734
4.75E+05,2.987949074
4.78E+05,2.985538002
4.80E+05,2.983143778
4.83E+05,2.980788901
4.85E+05,2.978407331
4.88E+05,2.976051616
4.90E+05,2.973683928
4.93E+05,2.971335602
4.95E+05,2.969002692
4.98E+05,2.966691617
5.00E+05,2.964393114
5.03E+05,2.96209549
5.05E+05,2.95978455
5.08E+05,2.957550886
5.10E+05,2.955298311
5.13E+05,2.952957976
5.15E+05,2.950751409
5.18E+05,2.948515073
5.20E+05,2.946229796
5.23E+05,2.944068512
5.25E+05,2.941884991
5.28E+05,2.939665616
5.30E+05,2.937477243
5.33E+05,2.935275846
5.35E+05,2.933096039
5.38E+05,2.930908801
5.40E+05,2.92877304
5.43E+05,2.926619937
5.45E+05,2.924481292
5.48E+05,2.922350807
5.50E+05,2.920214047
5.53E+05,2.918126106
5.55E+05,2.916000189
5.58E+05,2.913904615
5.60E+05,2.911827791
5.63E+05,2.90972072
5.65E+05,2.907657665
5.68E+05,2.90558079
5.70E+05,2.903510996
5.73E+05,2.901483919
5.75E+05,2.899425082
5.78E+05,2.897385697
5.80E+05,2.895353155
5.83E+05,2.893308897
5.85E+05,2.891318959
5.88E+05,2.889299205
5.90E+05,2.887294166
5.93E+05,2.885296967
5.95E+05,2.883328682
5.98E+05,2.881326156
6.00E+05,2.879376811
6.03E+05,2.877408752
6.05E+05,2.875427274
6.08E+05,2.873482602
6.10E+05,2.871546778
6.13E+05,2.86960391
6.15E+05,2.86763513
6.18E+05,2.865720799
6.20E+05,2.863806883
6.23E+05,2.861899518
6.25E+05,2.859985792
6.28E+05,2.858068749
6.30E+05,2.856181844
6.33E+05,2.854278482
6.35E+05,2.852404534
6.38E+05,2.850527423
6.40E+05,2.848653808
6.43E+05,2.846802421
6.45E+05,2.844913848
6.48E+05,2.843073136
6.50E+05,2.841235045
6.53E+05,2.839373653
6.55E+05,2.837539445
6.58E+05,2.835707535
6.60E+05,2.833874693
6.63E+05,2.832054261
6.65E+05,2.830229737
6.68E+05,2.828413349
6.70E+05,2.826624534
6.73E+05,2.824812941
6.75E+05,2.823015357
6.78E+05,2.821220148
6.80E+05,2.819427202
6.83E+05,2.817667135
6.85E+05,2.815873108
6.88E+05,2.814109853
6.90E+05,2.812343604
6.93E+05,2.810578124
6.95E+05,2.808818024
6.98E+05,2.807078691
7.00E+05,2.805296765
7.03E+05,2.803593123
7.05E+05,2.8018618
7.08E+05,2.800132657
7.10E+05,2.798401787
7.13E+05,2.796672331
7.15E+05,2.794951796
7.18E+05,2.793241633
7.20E+05,2.791533803
7.23E+05,2.789832668
7.25E+05,2.78811926
7.28E+05,2.78643315
7.30E+05,2.78476312
7.33E+05,2.783040614
7.35E+05,2.781384947
7.38E+05,2.779693506
7.40E+05,2.778011655
7.43E+05,2.776329916
7.45E+05,2.77467619
7.48E+05,2.773012706
