Frequency(Hz),Current_Fault,P2306001,P2306003,Eng Unit,P2305002,AMEC
1.00E+04,4.669440713,4.669520032,4.66899623,4.67E+00,4.67E+00,4.68E+00
1.25E+04,4.573414741,4.574001969,4.573503261,4.58E+00,4.58E+00,4.59E+00
1.50E+04,4.494854691,4.496000535,4.495426409,4.50E+00,4.50E+00,4.51E+00
1.75E+04,4.428338543,4.429838751,4.42930421,4.43E+00,4.43E+00,4.44E+00
2.00E+04,4.370657793,4.372532794,4.371913643,4.38E+00,4.37E+00,4.38E+00
2.25E+04,4.319892844,4.322007245,4.321388685,4.33E+00,4.32E+00,4.33E+00
2.50E+04,4.274387031,4.276782819,4.276151845,4.28E+00,4.28E+00,4.29E+00
2.75E+04,4.233287846,4.235853935,4.235211497,4.24E+00,4.24E+00,4.24E+00
3.00E+04,4.19569225,4.198421112,4.197814844,4.20E+00,4.20E+00,4.21E+00
3.25E+04,4.16113847,4.163952164,4.163409464,4.17E+00,4.16E+00,4.17E+00
3.50E+04,4.129624334,4.13143255,4.131623568,4.13E+00,4.13E+00,4.14E+00
3.75E+04,4.099351513,4.102463029,4.101917084,4.11E+00,4.10E+00,4.11E+00
4.00E+04,4.071140641,4.074453916,4.074006951,4.08E+00,4.07E+00,4.08E+00
4.25E+04,4.04533116,4.048761302,4.048205222,4.05E+00,4.05E+00,4.06E+00
4.50E+04,4.020924115,4.023777514,4.023226523,4.03E+00,4.02E+00,4.03E+00
4.75E+04,3.996954528,4.000731884,4.000178759,4.00E+00,4.00E+00,4.01E+00
5.00E+04,3.974934682,3.978513803,3.977969186,3.98E+00,3.98E+00,3.99E+00
5.25E+04,3.953822062,3.957522954,3.956932674,3.96E+00,3.96E+00,3.96E+00
5.50E+04,3.933698317,3.937443396,3.936903161,3.94E+00,3.94E+00,3.94E+00
5.75E+04,3.914484995,3.918278036,3.917693677,3.92E+00,3.92E+00,3.92E+00
6.00E+04,3.896050401,3.899931823,3.899368195,3.90E+00,3.90E+00,3.91E+00
6.25E+04,3.878393891,3.882324336,3.881777302,3.88E+00,3.88E+00,3.89E+00
6.50E+04,3.861435411,3.86538508,3.864851041,3.87E+00,3.87E+00,3.87E+00
6.75E+04,3.845041074,3.849065618,3.848569933,3.85E+00,3.85E+00,3.85E+00
7.00E+04,3.829338642,3.833368802,3.832885028,3.84E+00,3.83E+00,3.84E+00
7.25E+04,3.814120983,3.818283136,3.817675474,3.82E+00,3.82E+00,3.82E+00
7.50E+04,3.799449344,3.803567126,3.803072601,3.81E+00,3.80E+00,3.81E+00
7.75E+04,3.785229658,3.789401461,3.78890122,3.79E+00,3.79E+00,3.79E+00
8.00E+04,3.771480086,3.775748059,3.775197372,3.78E+00,3.78E+00,3.78E+00
8.25E+04,3.758137413,3.762370996,3.76188151,3.76E+00,3.76E+00,3.77E+00
8.50E+04,3.745160636,3.749478209,3.749012965,3.75E+00,3.75E+00,3.75E+00
8.75E+04,3.732632102,3.736954364,3.736452697,3.74E+00,3.74E+00,3.74E+00
9.00E+04,3.72036213,3.724773107,3.724288704,3.73E+00,3.72E+00,3.73E+00
9.25E+04,3.708526772,3.712898358,3.712424571,3.71E+00,3.71E+00,3.72E+00
9.50E+04,3.697001021,3.701364978,3.70091626,3.70E+00,3.70E+00,3.71E+00
9.75E+04,3.685703513,3.690130155,3.689678291,3.69E+00,3.69E+00,3.69E+00
1.00E+05,3.674711293,3.679151489,3.678688857,3.68E+00,3.68E+00,3.68E+00
1.03E+05,3.663963807,3.668439353,3.668003259,3.67E+00,3.67E+00,3.67E+00
1.05E+05,3.6535232,3.658014545,3.657490435,3.66E+00,3.66E+00,3.66E+00
1.08E+05,3.643284143,3.647782651,3.64741701,3.65E+00,3.65E+00,3.65E+00
1.10E+05,3.633340217,3.637848531,3.63743407,3.64E+00,3.64E+00,3.64E+00
1.13E+05,3.623586429,3.628118109,3.627739953,3.63E+00,3.63E+00,3.63E+00
1.15E+05,3.614011557,3.61860467,3.618198143,3.62E+00,3.62E+00,3.62E+00
1.18E+05,3.604621471,3.609262559,3.608838069,3.61E+00,3.61E+00,3.61E+00
1.20E+05,3.595525603,3.600115346,3.599737513,3.60E+00,3.60E+00,3.60E+00
1.23E+05,3.586568727,3.591211483,3.590771424,3.59E+00,3.59E+00,3.60E+00
1.25E+05,3.577744076,3.582477441,3.58204169,3.58E+00,3.58E+00,3.59E+00
1.28E+05,3.569184168,3.573828929,3.573407073,3.58E+00,3.57E+00,3.58E+00
1.30E+05,3.560752513,3.565389372,3.565018127,3.57E+00,3.57E+00,3.57E+00
1.33E+05,3.552435299,3.55716966,3.556744674,3.56E+00,3.56E+00,3.56E+00
1.35E+05,3.544348888,3.549049739,3.548613439,3.55E+00,3.55E+00,3.55E+00
1.38E+05,3.536280726,3.541074594,3.540680181,3.54E+00,3.54E+00,3.54E+00
