,principal_component1
1653675286,-0.8463622108760506
1653675286,-0.8463622108760529
1653675286,-0.8463622108760529
1653675286,-0.8463622108760529
1653675286,-0.8471666565958121
1653675287,-0.8471666565958121
1653675287,-0.8471666565958121
1653675287,-0.8471666565958121
1653675287,-0.8471666565958121
1653675288,-0.8471666565958121
1653675288,-0.8471666565958142
1653675288,-0.8471666565958121
1653675288,-0.8471666565958121
1653675289,-0.8471666565958121
1653675289,-0.8471666565958121
1653675289,-0.8471666565958121
1653675289,-0.8471666565958121
1653675290,-0.8471666565958121
1653675290,-0.8471666565958121
1653675290,-0.8471666565958121
1653675290,-0.8471666565958121
1653675291,-0.8471666565958121
1653675291,-0.8471666565958121
1653675291,-0.8471666565958121
1653675291,-0.8463622108760529
1653675291,-0.8471666565958121
1653675292,-0.8471666565958121
1653675292,-0.8471666565958121
1653675292,-0.8471666565958121
1653675292,-0.8471666565958121
1653675293,-0.8471666565958121
1653675293,-0.8463622108760529
1653675293,-0.8471666565958121
1653675293,-0.8471666565958121
1653675294,-0.8471666565958121
1653675294,-0.8471666565958121
1653675294,-0.8471666565958121
1653675294,-0.8471666565958121
1653675295,-0.8463622108760529
1653675295,-0.8463622108760529
1653675295,-0.8463622108760529
1653675295,-0.8471666565958121
1653675295,-0.8471666565958121
1653675296,-0.8471666565958121
1653675296,-0.8471666565958121
1653675296,-0.8471666565958121
1653675296,-0.8471666565958121
1653675297,-0.8471666565958121
1653675297,-0.8463622108760529
1653675297,-0.8463622108760529
1653675297,-0.8463622108760529
1653675298,-0.8463622108760529
1653675298,-0.8471666565958121
1653675298,-0.8471666565958121
1653675298,-0.8471666565958121
1653675298,-0.8471666565958121
1653675299,-0.8471666565958121
1653675299,-0.8471666565958121
1653675299,-0.8471666565958121
1653675299,-0.8471666565958121
1653675300,-0.8471666565958121
1653675300,-0.8471666565958121
1653675300,-0.8471666565958121
1653675300,-0.8471666565958121
1653675301,-0.8471666565958121
1653675301,-0.8471666565958121
1653675301,-0.8471666565958121
1653675301,-0.8471666565958121
1653675302,-0.8471666565958121
1653675302,-0.8471666565958121
1653675302,-0.8471666565958121
1653675302,-0.8471666565958121
1653675303,-0.8471666565958121
1653675303,-0.8471666565958121
1653675303,-0.8471666565958121
1653675303,-0.8471666565958121
1653675304,-0.8463622108760529
1653675304,-0.8471666565958121
1653675304,-0.8471666565958121
1653675304,-0.8471666565958121
1653675304,-0.8471666565958121
1653675305,-0.8471666565958121
1653675305,-0.8471666565958121
1653675305,-0.8471666565958121
1653675305,-0.8463622108760529
1653675306,-0.8463622108760529
1653675306,-0.8471666565958121
1653675306,-0.8471666565958121
1653675306,-0.8471666565958121
1653675307,-0.8471666565958121
1653675307,-0.8471666565958121
1653675307,-0.8471666565958121
1653675307,-0.8471666565958121
1653675308,-0.8471666565958121
1653675308,-0.8463622108760529
1653675308,-0.8463622108760529
1653675308,-0.8463622108760529
1653675309,-0.8471666565958121
1653675309,-0.8471666565958121
1653675309,-0.8471666565958121
1653675309,-0.8471666565958121
1653675309,-0.8463622108760529
1653675310,-0.8463622108760529
1653675310,-0.8463622108760529
1653675310,-0.8463622108760529
1653675310,-0.8471666565958121
1653675311,-0.8471666565958121
1653675311,-0.8471666565958121
1653675311,-0.8471666565958121
1653675311,-0.8471666565958121
1653675312,-0.8471666565958121
1653675312,-0.8471666565958121
1653675312,-0.8471666565958121
1653675312,-0.8471666565958121
1653675313,-0.8463622108760529
1653675313,-0.8471666565958121
1653675313,-0.8471666565958121
1653675313,-0.8471666565958121
1653675314,-0.8471666565958121
1653675314,-0.8471666565958121
1653675314,-0.8471666565958121
1653675314,-0.8471666565958121
1653675314,-0.8471666565958121
1653675315,-0.8471666565958121
1653675315,-0.8471666565958121
1653675315,-0.8471666565958121
1653675315,-0.8471666565958121
1653675316,-0.8471666565958121
1653675316,-0.8471666565958121
1653675316,-0.8471666565958121
1653675316,-0.8471666565958121
1653675317,-0.8471666565958121
1653675317,-0.8471666565958121
1653675317,-0.8471666565958121
1653675317,-0.8471666565958121
1653675318,-0.8471666565958121
1653675318,-0.8471666565958121
1653675318,-0.8471666565958121
1653675318,-0.8471666565958121
1653675318,-0.8463622108760529
1653675319,-0.8471666565958121
1653675319,-0.8471666565958121
1653675319,-0.8192573939744643
1653675319,-0.8200618396942235
1653675320,-0.8200618396942235
1653675320,-0.5027984555297841
1653675320,-0.44487836370712086
1653675320,-0.44487836370712086
1653675321,-0.44487836370712086
1653675321,-0.44568280942688004
1653675321,-0.44568280942688004
1653675321,-0.44568280942688004
1653675322,-0.44568280942688004
1653675322,1.792262864820793
1653675322,1.792262864820793
1653675322,2.115853464971744
1653675322,2.1203631731406887
1653675323,2.1203631731406887
1653675323,2.166959658901313
1653675323,2.165811991848975
1653675323,2.165811991848975
1653675324,2.165811991848975
1653675324,2.1692781141970165
1653675324,2.171841137642636
1653675324,2.171841137642636
1653675325,2.1702143753101337
1653675325,2.1714384139348017
1653675325,2.1714384139348017
1653675325,2.1712195689066616
1653675325,2.1732659241440726
1653675326,2.1732659241440726
1653675326,2.1732659241440726
1653675326,2.173734764335347
1653675326,2.173734764335347
1653675327,2.173734764335347
1653675327,2.1734329249001876
1653675327,2.171860228550986
1653675327,2.171860228550986
1653675328,2.1717422638859887
1653675328,2.1717961186740418
1653675328,2.1717961186740418
1653675328,2.1717961186740418
1653675328,2.1722629522588197
1653675329,2.173011321479251
1653675329,2.173011321479251
1653675329,2.171384559146749
1653675329,2.1723706618349263
1653675330,2.1723706618349263
1653675330,2.171384559146749
1653675330,2.1723168070468737
1653675330,2.1715025238117462
1653675331,2.1715025238117462
1653675331,2.1713307043586956
1653675331,2.1723706618349263
1653675331,2.1723706618349263
1653675332,2.1723706618349263
1653675332,2.171266594481752
1653675332,2.171266594481752
1653675332,2.171266594481752
1653675332,2.1714486690236923
1653675333,2.17279247645111
1653675333,2.17279247645111
1653675333,2.17279247645111
1653675333,2.1738985504107813
1653675334,2.1738985504107813
1653675334,2.1738985504107813
1653675334,2.174016515075778
1653675334,2.173962660287725
1653675335,2.173962660287725
1653675335,2.173962660287725
1653675335,2.173908805499672
1653675335,2.173908805499672
1653675336,2.173908805499672
1653675336,2.1726188528603076
1653675336,2.1726188528603076
1653675336,2.1726188528603076
1653675337,-0.8471666565958121
1653675337,-0.8471666565958121
1653675337,-0.8471666565958121
1653675337,-0.8471666565958121
1653675337,-0.8471666565958121
1653675338,-0.8471666565958121
1653675338,-0.8471666565958121
1653675338,-0.8471666565958121
1653675338,-0.8471666565958121
1653675339,-0.8471666565958121
1653675339,-0.8471666565958121
1653675339,-0.8471666565958121
1653675339,-0.8471666565958121
1653675340,-0.8471666565958121
1653675340,-0.8471666565958121
1653675340,-0.8463622108760529
1653675340,-0.8471666565958121
1653675341,-0.8471666565958121
1653675341,-0.8471666565958121
1653675341,-0.8471666565958121
1653675341,-0.8471666565958121
1653675342,-0.8471666565958121
1653675342,-0.8471666565958121
1653675342,-0.8471666565958121
1653675342,-0.8471666565958121
1653675343,-0.8471666565958121
1653675343,-0.8471666565958121
1653675343,-0.8471666565958121
1653675343,-0.8471666565958121
1653675343,-0.8471666565958121
1653675344,-0.8471666565958121
1653675344,-0.8471666565958121
1653675344,-0.8471666565958121
1653675344,-0.8471666565958121
1653675345,-0.8471666565958121
1653675345,-0.8471666565958121
1653675345,-0.8471666565958121
1653675345,-0.8471666565958121
1653675346,-0.8471666565958121
1653675346,-0.8471666565958121
1653675346,-0.8471666565958121
1653675346,-0.8471666565958121
1653675347,-0.8471666565958121
1653675347,-0.8471666565958121
1653675347,-0.8471666565958121
1653675347,-0.8471666565958121
1653675348,-0.8471666565958121
1653675348,-0.8471666565958121
1653675348,-0.8463622108760529
1653675348,-0.8471666565958121
1653675349,-0.8471666565958121
1653675349,-0.8471666565958121
1653675349,-0.8471666565958121
1653675349,-0.8471666565958121
1653675350,-0.8471666565958121
1653675350,-0.8471666565958121
1653675350,-0.8471666565958121
1653675350,-0.8471666565958121
1653675351,-0.8471666565958121
1653675351,-0.8471666565958121
1653675351,-0.8471666565958121
1653675351,-0.8471666565958121
1653675351,-0.8471666565958121
1653675352,-0.8471666565958121
1653675352,-0.8471666565958121
1653675352,-0.8463622108760529
1653675352,-0.8463622108760529
1653675353,-0.8463622108760529
1653675353,-0.8471666565958121
1653675353,-0.8471666565958121
1653675353,-0.8471666565958121
1653675354,-0.8471666565958121
1653675354,-0.8463622108760529
1653675354,-0.8471666565958121
1653675354,-0.8471666565958121
1653675355,-0.8471666565958121
1653675355,-0.8471666565958121
1653675355,-0.8471666565958121
1653675355,-0.8471666565958121
1653675355,-0.8463622108760529
1653675356,-0.8471666565958121
1653675356,-0.8471666565958121
1653675356,-0.8471666565958121
1653675356,-0.8471666565958121
1653675357,-0.8471666565958121
1653675357,-0.8471666565958121
1653675357,-0.8471666565958121
1653675357,-0.8471666565958121
1653675358,-0.8471666565958121
1653675358,-0.8463622108760529
1653675358,-0.8471666565958121
1653675358,-0.8471666565958121
1653675358,-0.8471666565958121
1653675359,-0.8471666565958121
1653675359,-0.8471666565958121
1653675359,-0.8463622108760529
1653675359,-0.8471666565958121
1653675360,-0.8463622108760529
1653675360,-0.8463622108760529
1653675360,-0.8463622108760529
