,principal_component1,principal_component2
1653675286,-0.8463622108760499,-0.05607314867523514
1653675286,-0.8463622108760523,-0.05607314867533191
1653675286,-0.8463622108760523,-0.05607314867533122
1653675286,-0.8463622108760523,-0.05607314867533122
1653675286,-0.8471666565958116,-0.05810105285660184
1653675287,-0.8471666565958116,-0.05810105285660184
1653675287,-0.8471666565958116,-0.05810105285660184
1653675287,-0.8471666565958116,-0.05810105285660184
1653675287,-0.8471666565958116,-0.05810105285660184
1653675288,-0.8471666565958116,-0.05810105285660184
1653675288,-0.8471666565958106,-0.05810105285659808
1653675288,-0.8471666565958107,-0.05810105285659816
1653675288,-0.8471666565958116,-0.05810105285660184
1653675289,-0.8471666565958116,-0.05810105285660184
1653675289,-0.8471666565958116,-0.05810105285660184
1653675289,-0.8471666565958116,-0.05810105285660184
1653675289,-0.8471666565958116,-0.05810105285660184
1653675290,-0.8471666565958116,-0.05810105285660184
1653675290,-0.8471666565958116,-0.05810105285660184
1653675290,-0.8471666565958116,-0.05810105285660184
1653675290,-0.8471666565958116,-0.05810105285660184
1653675291,-0.8471666565958116,-0.05810105285660184
1653675291,-0.8471666565958116,-0.05810105285660184
1653675291,-0.8471666565958116,-0.05810105285660184
1653675291,-0.8463622108760523,-0.05607314867533122
1653675291,-0.8471666565958116,-0.05810105285660184
1653675292,-0.8471666565958116,-0.05810105285660184
1653675292,-0.8471666565958116,-0.05810105285660184
1653675292,-0.8471666565958116,-0.05810105285660184
1653675292,-0.8471666565958116,-0.05810105285660184
1653675293,-0.8471666565958116,-0.05810105285660184
1653675293,-0.8463622108760523,-0.05607314867533122
1653675293,-0.8471666565958116,-0.05810105285660184
1653675293,-0.8471666565958116,-0.05810105285660184
1653675294,-0.8471666565958116,-0.05810105285660184
1653675294,-0.8471666565958116,-0.05810105285660184
1653675294,-0.8471666565958116,-0.05810105285660184
1653675294,-0.8471666565958116,-0.05810105285660184
1653675295,-0.8463622108760523,-0.05607314867533122
1653675295,-0.8463622108760523,-0.05607314867533122
1653675295,-0.8463622108760523,-0.05607314867533122
1653675295,-0.8471666565958116,-0.05810105285660184
1653675295,-0.8471666565958116,-0.05810105285660184
1653675296,-0.8471666565958116,-0.05810105285660184
1653675296,-0.8471666565958116,-0.05810105285660184
1653675296,-0.8471666565958116,-0.05810105285660184
1653675296,-0.8471666565958116,-0.05810105285660184
1653675297,-0.8471666565958116,-0.05810105285660184
1653675297,-0.8463622108760523,-0.05607314867533122
1653675297,-0.8463622108760523,-0.05607314867533122
1653675297,-0.8463622108760523,-0.05607314867533122
1653675298,-0.8463622108760523,-0.05607314867533122
1653675298,-0.8471666565958116,-0.05810105285660184
1653675298,-0.8471666565958116,-0.05810105285660184
1653675298,-0.8471666565958116,-0.05810105285660184
1653675298,-0.8471666565958116,-0.05810105285660184
1653675299,-0.8471666565958116,-0.05810105285660184
1653675299,-0.8471666565958116,-0.05810105285660184
1653675299,-0.8471666565958116,-0.05810105285660184
1653675299,-0.8471666565958116,-0.05810105285660184
1653675300,-0.8471666565958116,-0.05810105285660184
1653675300,-0.8471666565958116,-0.05810105285660184
1653675300,-0.8471666565958116,-0.05810105285660184
1653675300,-0.8471666565958116,-0.05810105285660184
1653675301,-0.8471666565958116,-0.05810105285660184
1653675301,-0.8471666565958116,-0.05810105285660184
1653675301,-0.8471666565958116,-0.05810105285660184
1653675301,-0.8471666565958116,-0.05810105285660184
1653675302,-0.8471666565958116,-0.05810105285660184
1653675302,-0.8471666565958116,-0.05810105285660184
1653675302,-0.8471666565958116,-0.05810105285660184
1653675302,-0.8471666565958116,-0.05810105285660184
1653675303,-0.8471666565958116,-0.05810105285660184
1653675303,-0.8471666565958116,-0.05810105285660184
1653675303,-0.8471666565958116,-0.05810105285660184
1653675303,-0.8471666565958116,-0.05810105285660184
1653675304,-0.8463622108760523,-0.05607314867533122
1653675304,-0.8471666565958116,-0.05810105285660184
1653675304,-0.8471666565958116,-0.05810105285660184
1653675304,-0.8471666565958116,-0.05810105285660184
1653675304,-0.8471666565958116,-0.05810105285660184
